iter	Passed	Remaining
926	122270	9628
927	122388	9495
928	122503	9362
929	122615	9229
930	122736	9096
931	122856	8963
932	122978	8831
933	123105	8699
934	123219	8566
935	123338	8433
936	123476	8302
937	123609	8170
938	123738	8038
939	123863	7906
940	123985	7773
941	124114	7641
942	124246	7510
943	124373	7378
944	124488	7245
945	124601	7112
946	124732	6980
947	124855	6848
948	124989	6717
949	125119	6585
950	125244	6453
951	125359	6320
952	125487	6188
953	125615	6056
954	125744	5925
955	125869	5793
956	125999	5661
957	126130	5529
958	126264	5398
959	126387	5266
960	126513	5134
961	126639	5002
962	126753	4870
963	126878	4738
964	127002	4606
965	127131	4474
966	127243	4342
967	127359	4210
968	127481	4078
969	127606	3946
970	127736	3814
971	127866	3683
972	127984	3551
973	128113	3419
974	128238	3288
975	128364	3156
976	128478	3024
977	128616	2893
978	128743	2761
979	128860	2629
980	128995	2498
981	129122	2366
982	129246	2235
983	129371	2103
984	129484	1971
985	129604	1840
986	129715	1708
987	129836	1576
988	129949	1445
989	130065	1313
990	130183	1182
991	130310	1050
992	130424	919
993	130537	787
994	130656	656
995	130775	525
996	130896	393
997	131019	262
998	131142	131
999	131253	0
