,art_id,to_pick,weight,volume,tour_id,box_position_on_cart,box_type,order_time_sec,num_cluster
7792,505673,1,0.038,1395.0,209849,3,2,9.653442,1
7793,616873,1,0.816,1370.82,224425,11,1,1.8949680000000002,1
7794,733076,2,1.865,5423.0,224425,11,1,10.811915,1
7795,270721,3,0.156,288.77,224425,11,1,6.2230680000000005,1
7796,210524,1,0.8240000000000001,1370.82,224425,11,1,2.725162,1
7797,503361,2,1.021,2021.25,224425,11,1,25.416006000000003,1
7798,606461,2,2.437,5442.72,210459,1,4,11.799765,0
7799,428048,1,0.43,1148.66,210459,1,4,2.046844,0
7800,606465,2,2.436,5442.72,210459,2,4,14.137938,0
7801,594391,1,0.42200000000000004,1148.66,210459,2,4,6.649866,0
7802,432540,1,1.3130000000000002,2319.9,210459,2,4,2.16994,0
7803,45639,4,0.48,1430.0,210459,1,4,40.087320000000005,0
7804,740751,1,0.09300000000000001,1204.0,210459,1,4,4.5656930000000004,0
7805,46443,2,0.84,2860.0,210459,2,4,23.146176,0
7806,317383,1,0.43,889.2,210459,2,4,3.3899990000000004,0
7807,721609,2,0.38299999999999995,438.22,210459,2,4,11.654948000000001,0
7808,721607,2,0.38299999999999995,438.22,210459,2,4,10.053176,0
7809,45640,4,0.094,337.5,210459,2,4,10.536417,0
7810,281850,2,0.17,687.5,210459,2,4,5.5086450000000005,0
7811,358734,2,2.67,16871.05,210459,1,4,21.088059,4
7812,577732,1,0.05,666.79,222544,3,6,1.738782,0
7813,635964,2,0.04,146.88,222296,3,3,7.875184000000001,0
7814,503905,1,0.44799999999999995,714.78,222296,5,3,3.4971020000000004,0
7815,503905,4,0.44799999999999995,714.78,222296,5,3,19.677002,0
7816,98122,1,1.125,1221.7,222299,11,5,12.400124,0
7817,356207,1,0.54,991.44,222299,11,5,3.2751710000000003,0
7818,549319,1,0.043,470.24,222299,11,5,6.510668000000001,0
7819,549415,1,0.043,470.24,222299,11,5,3.0642050000000003,0
7820,456253,1,0.043,470.24,222299,11,5,3.8265070000000003,0
7821,482281,1,0.841,1937.98,222299,11,5,4.300949,0
7822,433362,4,0.047,204.24,222299,11,5,16.483194,0
7823,561658,1,0.887,1683.99,222299,11,5,4.144278,0
7824,241164,1,0.158,203.36,222299,11,5,10.26633,0
7825,351049,1,0.11,2071.88,222299,11,5,4.0089950000000005,0
7826,234049,1,0.057,1111.5,222299,11,5,7.867952000000001,0
7827,606272,1,0.1,1142.47,222308,3,2,2.289226,1
7828,39152,10,0.325,2351.52,222308,3,2,48.124881,1
7829,7953,1,0.05,484.34,222308,3,2,3.150898,1
7830,606290,1,0.15,924.5,222308,3,2,4.00866,1
7831,640784,3,2.63,16168.36,222308,3,2,25.194242000000003,4
7832,606289,1,1.0,924.5,222308,3,2,1.440465,1
7833,14529,2,0.044000000000000004,236.25,222308,3,2,5.2608440000000005,1
7834,7953,1,0.05,484.34,210274,3,2,4.057454,1
